Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
3212.799359,0.013332599,-81.39320466,-116.1974466
3240.696036,0.012822546,-80.95195201,-125.7522225
3268.834939,0.013131621,-81.47922241,-138.8249902
3297.218171,0.013262021,-86.58694956,-157.4112007
3325.847855,0.014291244,-86.3204674,-171.931116
3354.726129,0.013398697,-85.27291969,-176.6774116
3383.855153,0.01341194,-83.70404197,-173.2710973
3413.237104,0.013295954,-83.88460287,-109.0860832
3442.874178,0.013418537,-85.04032109,-102.9361394
3472.76859,0.01256269,-86.19159836,-127.8283577
3502.922575,0.012116041,-85.77566303,-115.2849825
3533.338386,0.013434985,-85.72843301,-147.3407561
3564.018297,0.012575233,-84.08738322,-149.2382863
3594.964601,0.013331249,-81.86850217,-139.8444846
3626.179611,0.011624496,-91.5513479,-145.5072445
3657.66566,0.013322496,-84.14406905,-133.6857481
3689.425103,0.013280336,-83.54066979,-162.7520546
3721.460312,0.012809926,-81.9415138,-123.6439171
3753.773682,0.011593513,-82.2478136,-166.1086824
3786.367628,0.011908969,-85.45242904,-120.5997315
3819.244588,0.011431482,-85.45006094,-127.6830172
3852.407017,0.012323989,-87.46951903,-122.2305284
3885.857395,0.012455479,-87.02860906,-150.8909194
3919.598222,0.011603822,-90.01225514,-145.4049946
3953.632019,0.013082775,-89.56207436,-87.79329285
3987.961332,0.0115626,-83.32685886,-119.6614301
4022.588726,0.011392918,-84.93272403,-143.2856975
4057.516788,0.012102671,-83.62171523,-150.5660825
4092.74813,0.011721977,-80.3565875,-111.1089539
4128.285386,0.011052416,-81.83231265,-117.5627482
4164.13121,0.01137148,-82.48047777,-121.7744252
4200.288283,0.011123839,-87.34799721,-123.2898779
4236.759308,0.010351976,-79.82970048,-140.9795056
4273.547009,0.011077293,-83.1493142,-139.7651186
4310.654138,0.0113116,-82.95114206,-153.3993857
4348.083467,0.010791724,-85.21150774,-145.8391919
4385.837794,0.010826706,-89.79743525,-99.40864084
4423.919942,0.011036364,-80.7513362,-124.4584794
4462.332756,0.010536744,-79.38694885,-131.4461534
4501.079107,0.01153253,-86.48632724,-133.7548827
4540.161893,0.007561421,-89.663905,-136.6429273
4579.584033,0.010176462,-86.51256046,-138.7853904
4619.348476,0.010431385,-83.72157384,-104.2609116
4659.458192,0.01045871,-86.08198759,-134.8494226
4699.91618,0.010131446,-83.87428601,-147.9687312
4740.725464,0.009601761,-84.28226606,-146.213646
4781.889094,0.009658098,-87.12442171,178.7154173
4823.410148,0.011036151,-80.80559274,-129.0538517
4865.291728,0.008672051,-80.42933149,-136.8457598
4907.536965,0.010282005,-85.3280926,-170.5302381
4950.149016,0.01103482,-83.71694795,-163.2034093
4993.131067,0.006900036,-79.73517244,-119.4158186
5036.486331,0.009533421,-80.46120016,-122.5978891
5080.218047,0.009930609,-86.75010115,-135.9167522
5124.329485,0.007427254,-92.16607685,177.165717
5168.823942,0.010713595,-80.07139246,-124.7796027
5213.704743,0.010521749,-80.89312458,-128.4366217
5258.975244,0.006126129,-83.21158147,-153.1127209
5304.638827,0.010375405,-82.78392959,-162.1563544
5350.698907,0.00999054,-91.21632338,-138.939106
5397.158925,0.006796572,-78.42198851,-138.5267431
5444.022355,0.008899613,-80.82846871,-150.6309506
5491.292699,0.009872132,-83.84262029,-151.1697715
5538.97349,0.006921381,-87.41316351,-157.0407854
5587.068293,0.009869679,-81.13628514,-138.4402701
5635.580703,0.009778808,-81.6997252,-177.5583558
5684.514344,0.009283946,-85.91213746,-150.0170864
5733.872876,0.000790265,-81.90353813,-140.9639601
5783.659986,0.009294937,-84.33073978,-170.8915579
5833.879398,0.009333428,-90.38428132,-173.2545804
5884.534863,0.00437252,-87.54218003,-155.9578808
5935.630169,0.00934427,-79.41880602,-151.8572945
5987.169134,0.009222541,-89.60595878,-168.6677308
6039.155612,0.006960105,-81.15668348,-141.4598856
6091.593487,-0.002148886,-83.10319318,-124.2115162
6144.486679,0.008439575,-79.69565567,-172.7410967
6197.839141,0.008580372,-82.17209273,-155.3427157
6251.654862,0.005216068,-85.68929316,-149.3206557
6305.937864,0.007860736,-84.87499689,-170.0313983
6360.692205,0.008539053,-82.35633324,-117.4083024
6415.921976,0.008199212,-86.46506055,-150.7418242
6471.631306,0.001290815,-80.17484504,-154.741574
6527.824359,0.007643321,-85.49145773,-157.8599876
6584.505336,0.008308253,-84.0851282,-125.8697661
6641.678472,0.007862549,-84.20747743,179.3803777
6699.348042,-0.002481741,-77.86205828,-152.3765154
6757.518355,0.006940022,-81.6255413,-147.0141891
6816.193761,0.008067631,-83.36270342,-124.3824585
6875.378643,0.006736086,-86.41249346,-146.9071874
6935.077427,-0.004341976,-81.34793792,-134.612533
6995.294574,0.007716497,-78.33414079,-104.3066914
7056.034586,0.008033351,-86.79092076,-158.854066
7117.302002,0.006270364,-83.02769151,-139.3384571
7179.101402,-0.003524347,-80.76169684,-130.1134666
7241.437405,0.008209552,-80.46864862,-112.5355485
7304.31467,0.007713089,-83.8645981,-163.7429113
7367.737897,0.008056591,-87.23095051,-153.0270086
7431.711827,-0.000838698,-80.51221724,-144.5570606
7496.241242,0.001884652,-85.71996362,-103.1512648
7561.330964,0.007005599,-88.00667228,99.16846628
7626.985859,0.008306501,-85.54565202,-89.45354225
7693.210834,0.003452361,-83.67753261,-125.6435488
7760.01084,-0.004151644,-89.74473758,163.9986291
7827.390868,0.007860404,-83.3135854,-75.27344595
7895.355957,0.008501782,-84.38222369,-93.33605662
7963.911184,0.006252819,-81.31867063,-63.21718355
8033.061676,-0.001990059,-79.32650203,-54.29917427
8102.8126,0.002698327,-77.85261151,-53.91391552
8173.16917,0.007773256,-84.65620565,-58.70081593
8244.136644,0.008479216,-77.2738832,-19.2663632
8315.720328,0.005849007,-74.90705829,-53.92893326
8387.925572,-0.006862986,-73.88682772,-22.50225042
8460.757772,0.004681139,-73.66382131,-35.25254118
8534.222374,0.007070725,-71.01053691,-36.32818138
8608.324866,0.008421014,-70.27268435,-34.66893864
8683.07079,0.005571579,-70.540827,-34.72893113
8758.465731,-0.006910002,-69.41688533,-36.86490927
8834.515324,0.006035698,-68.08116495,-39.57216704
8911.225255,0.007817109,-66.62421285,-42.26364586
8988.601257,0.00820474,-65.87050643,-43.4746247
9066.649113,0.005836151,-63.9198343,-41.42142062
9145.374658,-0.006115032,-63.28441354,-41.10937121
9224.783774,0.00343262,-60.97976914,-40.66797011
9304.882399,0.00780025,-60.6683529,-43.94779606
9385.676518,0.008964863,-60.04153027,-44.15421254
9467.172172,0.007210959,-58.4187664,-47.69679043
9549.37545,0.001672083,-57.58940008,-47.49573192
