Freq.	V(n009)/I(C3)
Step Information: Run=1  (Run: 1/20)
2.08929613085404e+003	(1.17651264005435e+002dB,9.33176538144707e+001°)
2.13796208950223e+003	(1.17451963146829e+002dB,9.33947478006574e+001°)
2.18776162394955e+003	(1.17252695117105e+002dB,9.34736244088824e+001°)
2.23872113856834e+003	(1.17053461451849e+002dB,9.35543242276156e+001°)
2.29086765276777e+003	(1.16854263757902e+002dB,9.36368887245211e+001°)
2.34422881531992e+003	(1.16655103716614e+002dB,9.37213602622697e+001°)
2.39883291901949e+003	(1.16455983087242e+002dB,9.38077821143938e+001°)
2.45470891568503e+003	(1.16256903710491e+002dB,9.38961984811640e+001°)
2.51188643150958e+003	(1.16057867512213e+002dB,9.39866545054641e+001°)
2.57039578276886e+003	(1.15858876507271e+002dB,9.40791962886397e+001°)
2.63026799189538e+003	(1.15659932803559e+002dB,9.41738709062920e+001°)
2.69153480392691e+003	(1.15461038606212e+002dB,9.42707264239872e+001°)
2.75422870333816e+003	(1.15262196221981e+002dB,9.43698119128494e+001°)
2.81838293126445e+003	(1.15063408063806e+002dB,9.44711774650009e+001°)
2.88403150312660e+003	(1.14864676655581e+002dB,9.45748742088125e+001°)
2.95120922666638e+003	(1.14666004637118e+002dB,9.46809543239220e+001°)
3.01995172040201e+003	(1.14467394769322e+002dB,9.47894710559767e+001°)
3.09029543251359e+003	(1.14268849939584e+002dB,9.49004787310514e+001°)
3.16227766016838e+003	(1.14070373167398e+002dB,9.50140327696909e+001°)
3.23593656929628e+003	(1.13871967610210e+002dB,9.51301897005198e+001°)
3.31131121482591e+003	(1.13673636569503e+002dB,9.52490071733614e+001°)
3.38844156139202e+003	(1.13475383497142e+002dB,9.53705439717997e+001°)
3.46736850452531e+003	(1.13277212001958e+002dB,9.54948600251164e+001°)
3.54813389233575e+003	(1.13079125856615e+002dB,9.56220164195285e+001°)
3.63078054770101e+003	(1.12881129004736e+002dB,9.57520754086463e+001°)
3.71535229097172e+003	(1.12683225568317e+002dB,9.58851004230685e+001°)
3.80189396320561e+003	(1.12485419855427e+002dB,9.60211560790217e+001°)
3.89045144994280e+003	(1.12287716368209e+002dB,9.61603081859486e+001°)
3.98107170553497e+003	(1.12090119811183e+002dB,9.63026237529405e+001°)
4.07380277804112e+003	(1.11892635099862e+002dB,9.64481709939044e+001°)
4.16869383470335e+003	(1.11695267369695e+002dB,9.65970193313462e+001°)
4.26579518801592e+003	(1.11498021985330e+002dB,9.67492393986459e+001°)
4.36515832240165e+003	(1.11300904550218e+002dB,9.69049030406906e+001°)
4.46683592150962e+003	(1.11103920916562e+002dB,9.70640833127257e+001°)
4.57088189614874e+003	(1.10907077195606e+002dB,9.72268544772724e+001°)
4.67735141287197e+003	(1.10710379768285e+002dB,9.73932919989540e+001°)
4.78630092322637e+003	(1.10513835296238e+002dB,9.75634725370635e+001°)
4.89778819368445e+003	(1.10317450733175e+002dB,9.77374739356928e+001°)
5.01187233627271e+003	(1.10121233336618e+002dB,9.79153752112378e+001°)
5.12861383991364e+003	(1.09925190680013e+002dB,9.80972565370803e+001°)
5.24807460249772e+003	(1.09729330665213e+002dB,9.82831992252387e+001°)
5.37031796370252e+003	(1.09533661535330e+002dB,9.84732857047687e+001°)
5.49540873857624e+003	(1.09338191887962e+002dB,9.86675994966814e+001°)
5.62341325190348e+003	(1.09142930688785e+002dB,9.88662251851410e+001°)
5.75439937337156e+003	(1.08947887285513e+002dB,9.90692483846853e+001°)
5.88843655355588e+003	(1.08753071422214e+002dB,9.92767557032067e+001°)
6.02559586074357e+003	(1.08558493253975e+002dB,9.94888347004175e+001°)
6.16595001861481e+003	(1.08364163361907e+002dB,9.97055738415113e+001°)
6.30957344480192e+003	(1.08170092768475e+002dB,9.99270624457221e+001°)
